filename,year,DP02_0001E,DP05_0068E,DP05_0069E,DP05_0062E,DP03_0034E,DP05_0033E,DP03_0062E,DP05_0073E,DP02_0037E,DP02_0059E,DP05_0071E,DP05_0065E,DP05_0072E,DP03_0064E,DP05_0063E,DP02_0067PE,DP02_0093E,DP02_0068E,DP03_0008E,DP02_0095E,DP03_0063E,DP02_0067E,DP02_0036E,DP03_0033E,DP05_0067E,DP02_0094E,DP05_0060E,DP05_0079E,DP03_0032E,DP05_0077E,DP05_0066E,DP05_0061E,DP03_0006E,DP05_0028E,DP05_0070E,DP02_0097E,DP02_0096E,DP02_0058E,DP03_0009PE,DP05_0001E
Eastpointe_11052019_CityCouncil.csv,2019,13373,5,,,,34148,52269,,347,23231,570,18240,,,,,,3531,16802,1078,62346,,,23,276,,,,14926,14459,373,,0,,34148,373,,,11.2,34148
ElkRidge_11022021_Mayor.csv,2021,1229,31,87,,,4658,126131,201,84,2529,,,4658,,,,,937,1989,68,141985,,,4,25,,,4232,1893,,,,0,,105,28,,,4.8,4658
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,2019,43995,216,,,,109934,47722,,1222,67763,67921,3839,,,,,,24690,50538,12109,64425,,,1002,2490,,,,46744,34731,3588,,238,,109934,6689,,,7.5,109934
Minneapolis_11022021_Mayor.csv,2021,185674,13186,28721,,,426877,76332,42067,5188,287404,,,426877,,,,,153769,259198,61781,108980,,,1193,92053,,,256323,244212,,,,368,,675,28106,,,5.8,426877
Minneapolis_11022021_ParkBoardAtLarge.csv,2021,185674,13186,28721,,,426877,76332,42067,5188,287404,,,426877,,,,,153769,259198,61781,108980,,,1193,92053,,,256323,244212,,,,368,,675,28106,,,5.8,426877
Minneapolis_11052013_Mayor.csv,2013,168385,,,28780,,,51480,,,,,399950,241066,,948,47.4,61918,,240754,36346,75185,,6375,1036,,,83922,,222453,,39857,11647,65,399950,,,,263897,7.6,399950
Minneapolis_11062009_Mayor.csv,2009,168273,,,23870,,,47478,,,,,381833,238110,,405,44.7,56744,,228833,36443,68190,,6324,632,,,75883,,207205,,36719,11925,81,381833,,,,250683,9.5,381833
Minneapolis_11072017_Mayor.csv,2017,176974,740,,,,420324,62583,,5943,280424,40432,91094,,,,,,141463,256184,,89282,,,952,30759,65579,,,243171,252180,11876,,65,,420324,,34946,,5.1,420324
Minnetonka_11022021_CityCouncilAtLargeSeatA.csv,2021,23402,391,4379,,,53529,114867,1750,627,39790,,,53529,,,,,25011,30473,5579,155963,,,119,2966,,,44140,29703,,,,0,,0,2525,,,2.5,53529
Minnetonka_11022021_CityCouncilAtLargeSeatB.csv,2021,23402,391,4379,,,53529,114867,1750,627,39790,,,53529,,,,,25011,30473,5579,155963,,,119,2966,,,44140,29703,,,,0,,0,2525,,,2.5,53529
Minnetonka_11022021_Mayor.csv,2021,23402,391,4379,,,53529,114867,1750,627,39790,,,53529,,,,,25011,30473,5579,155963,,,119,2966,,,44140,29703,,,,0,,0,2525,,,2.5,53529
NewYorkCity_06222021_DEMComptrollerCitywide.csv,2021,3282804,128153,1387836,,,8622467,76607,2503005,99685,6126610,,,8622467,,,,,2463674,4445502,3133149,122667,,,3940,2280397,,,2687138,4108682,,,,3332,,21421,1293408,,,7.6,8622467
NewYorkCity_06222021_DEMMayorCitywide.csv,2021,3282804,128153,1387836,,,8622467,76607,2503005,99685,6126610,,,8622467,,,,,2463674,4445502,3133149,122667,,,3940,2280397,,,2687138,4108682,,,,3332,,21421,1293408,,,7.6,8622467
NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,2021,3282804,128153,1387836,,,8622467,76607,2503005,99685,6126610,,,8622467,,,,,2463674,4445502,3133149,122667,,,3940,2280397,,,2687138,4108682,,,,3332,,21421,1293408,,,7.6,8622467
NewYorkCity_06222021_REPMayorCitywide.csv,2021,3282804,128153,1387836,,,8622467,76607,2503005,99685,6126610,,,8622467,,,,,2463674,4445502,3133149,122667,,,3940,2280397,,,2687138,4108682,,,,3332,,21421,1293408,,,7.6,8622467
Oakland_11022010_CityAuditor.csv,2010,154257,,,72858,,,51683,,,,,392890,102225,,4008,37.9,108109,,207904,62587,77888,,5689,622,,,116274,,183807,,99882,7828,338,392890,,,,271407,11.6,392890
Oakland_11022010_Mayor.csv,2010,154257,,,72858,,,51683,,,,,392890,102225,,4008,37.9,108109,,207904,62587,77888,,5689,622,,,116274,,183807,,99882,7828,338,392890,,,,271407,11.6,392890
Oakland_11032020_CityAttorneyOaklandRCV.csv,2020,170282,12005,84571,,,437825,94389,116550,5701,322918,,,437825,,,,,156333,247759,115087,139468,,,965,110157,,,126780,233396,,,,342,,4273,58022,,,5.8,437825
Oakland_11032020_MemberCityCouncilAtLargeOaklandRCV.csv,2020,170282,12005,84571,,,437825,94389,116550,5701,322918,,,437825,,,,,156333,247759,115087,139468,,,965,110157,,,126780,233396,,,,342,,4273,58022,,,5.8,437825
Oakland_11042014_CityAuditor.csv,2014,158937,,,77068,,,57778,,,,,412040,112685,,4613,39.7,112305,,227583,61131,87330,,6021,1060,,,115768,,206415,,109919,9187,182,412040,,,,292651,9.3,412040
Oakland_11042014_Mayor.csv,2014,158937,,,77068,,,57778,,,,,412040,112685,,4613,39.7,112305,,227583,61131,87330,,6021,1060,,,115768,,206415,,109919,9187,182,412040,,,,292651,9.3,412040
Oakland_11062012_CityAttorney.csv,2012,155918,,,76109,,,52962,,,,,402339,106736,,4071,38.6,108985,,216557,60414,80758,,5621,857,,,116598,,191072,,104122,9016,242,402339,,,,281250,11.8,402339
