geocode,year,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!EMPLOYMENT STATUS!!Civilian labor force,Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,Estimate!!INCOME AND BENEFITS!!Total households!!Mean household income (dollars),Estimate!!INCOME AND BENEFITS!!Total households!!Median household income (dollars),Estimate!!INDUSTRY!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Total population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!SEX AND AGE!!Total population,Estimate!!HOUSEHOLDS BY TYPE!!Total households
27_053_103100,2017,1653.0,761.0,1183.0,3.1,0.0,0.0,164.0,1449.0,65424.0,47538.0,1146.0,10.0,10.0,47.0,376.0,0.0,2049.0,398.0,197.0,2049.0,2049.0,1089.0
27_053_104000,2017,3085.0,1860.0,4879.0,5.9,0.0,125.0,447.0,4616.0,52867.0,43221.0,4593.0,0.0,138.0,894.0,656.0,0.0,6715.0,1047.0,783.0,6715.0,6715.0,2399.0
27_053_002400,2017,1879.0,926.0,1806.0,3.0,0.0,35.0,162.0,1795.0,91721.0,76555.0,1752.0,0.0,4.0,58.0,458.0,0.0,2442.0,320.0,66.0,2442.0,2442.0,1237.0
27_053_100500,2017,1440.0,513.0,1097.0,1.5,0.0,39.0,96.0,1431.0,68081.0,60968.0,1080.0,7.0,48.0,71.0,224.0,0.0,1837.0,159.0,40.0,1837.0,1837.0,912.0
27_053_100400,2017,1881.0,358.0,1582.0,11.7,0.0,69.0,540.0,887.0,55339.0,37951.0,1397.0,0.0,88.0,468.0,1326.0,0.0,3250.0,414.0,219.0,3250.0,3250.0,1039.0
27_053_100900,2017,2855.0,419.0,2574.0,12.0,0.0,177.0,602.0,1244.0,54443.0,47639.0,2265.0,10.0,188.0,755.0,2292.0,0.0,4988.0,660.0,421.0,4988.0,4988.0,1568.0
27_053_101200,2017,3681.0,2189.0,3344.0,0.7,0.0,55.0,415.0,3976.0,97473.0,88054.0,3322.0,20.0,73.0,365.0,269.0,0.0,4972.0,392.0,165.0,4972.0,4972.0,2145.0
27_053_000603,2017,2193.0,1148.0,1877.0,1.7,0.0,11.0,213.0,2546.0,104695.0,83984.0,1845.0,0.0,54.0,34.0,37.0,0.0,2854.0,209.0,59.0,2854.0,2854.0,1283.0
27_053_000601,2017,3648.0,1592.0,3022.0,4.6,0.0,147.0,197.0,3828.0,81936.0,67656.0,2882.0,0.0,99.0,184.0,723.0,68.0,5134.0,558.0,214.0,5134.0,5134.0,2053.0
27_053_101600,2017,1468.0,237.0,1158.0,12.3,0.0,32.0,276.0,555.0,46504.0,33387.0,1015.0,0.0,124.0,239.0,1383.0,0.0,2542.0,502.0,156.0,2542.0,2542.0,862.0
27_053_001100,2017,1609.0,805.0,1401.0,5.6,0.0,30.0,199.0,1503.0,77338.0,71713.0,1323.0,0.0,57.0,138.0,238.0,0.0,2138.0,198.0,101.0,2138.0,2138.0,935.0
27_053_102500,2017,2428.0,1126.0,2047.0,2.7,0.0,49.0,611.0,1863.0,73057.0,53412.0,1991.0,10.0,55.0,142.0,482.0,0.0,3089.0,540.0,346.0,3089.0,3089.0,1369.0
27_053_001700,2017,1620.0,665.0,1478.0,6.4,0.0,12.0,260.0,1337.0,65445.0,46094.0,1383.0,18.0,25.0,58.0,644.0,0.0,2324.0,428.0,133.0,2324.0,2324.0,959.0
