,TRACTCE20,BLOCKCE20,GEOID20,sup_dist,geometry,percent
6477,31202,2003,60750312022003,11,"POLYGON ((-122.449279 37.720151, -122.449996 37.719025, -122.450821 37.719355, -122.450103 37.720482, -122.449279 37.720151))",0.9999999999999998
6037,11700,2000,60750117002000,3,"POLYGON ((-122.396586 37.794588, -122.39639 37.793664, -122.397608 37.793509, -122.397796 37.794434, -122.396586 37.794588))",0.9999999999999998
3771,16500,3002,60750165003002,5,"POLYGON ((-122.449517 37.77446, -122.449326 37.773525, -122.450974 37.773316, -122.451163 37.774249, -122.449517 37.77446))",0.9999999999999998
1912,35300,3007,60750353003007,4,"POLYGON ((-122.495789 37.738426, -122.495659 37.736558, -122.496724 37.736511, -122.496855 37.738379, -122.495789 37.738426))",0.9999999999999998
752,31402,3000,60750314023000,11,"POLYGON ((-122.458163 37.718232, -122.457145 37.718233, -122.456108 37.718235, -122.456094 37.717477, -122.459072 37.717455, -122.459078 37.718008, -122.459187 37.71823, -122.458163 37.718232))",0.9999999999999998
2041,30201,3005,60750302013005,7,"POLYGON ((-122.472655 37.761834, -122.472652 37.761795, -122.472537 37.760135, -122.472446 37.760029, -122.473652 37.759975, -122.473776 37.761744, -122.473779 37.761783, -122.472655 37.761834))",0.9999999999999998
3785,20101,2011,60750201012011,9,"POLYGON ((-122.42147 37.769339, -122.421365 37.76819, -122.422199 37.76814, -122.422258 37.768754, -122.422308 37.769278, -122.42147 37.769339))",0.9999999999999998
514,30600,2005,60750306002005,7,"POLYGON ((-122.451626 37.744503, -122.452675 37.743872, -122.452934 37.744143, -122.45299 37.744201, -122.452934 37.744221, -122.452868 37.744244, -122.452803 37.744274, -122.452761 37.744306, -122.452702 37.744337, -122.452638 37.744347, -122.452589 37.744373, -122.452537 37.744397, -122.452472 37.744424, -122.452425 37.74445, -122.452381 37.744484, -122.452334 37.744523, -122.45228 37.744547, -122.452226 37.744562, -122.452173 37.744593, -122.452113 37.744615, -122.452056 37.744656, -122.451993 37.744702, -122.451941 37.744732, -122.451879 37.744767, -122.451626 37.744503))",0.9999999999999998
6480,980900,1035,60759809001035,10,"POLYGON ((-122.397749 37.744469, -122.396526 37.743766, -122.396411 37.7437, -122.396359 37.74367, -122.396309 37.743641, -122.396284 37.743627, -122.396386 37.743513, -122.396607 37.743266, -122.396665 37.743201, -122.396698 37.743164, -122.396738 37.743187, -122.396775 37.743209, -122.396829 37.743241, -122.396851 37.743254, -122.396917 37.743293, -122.396971 37.743315, -122.39736 37.743476, -122.39775 37.743701, -122.398231 37.743945, -122.397749 37.744469))",0.9999999999999998
6690,33002,1008,60750330021008,4,"POLYGON ((-122.484264 37.742673, -122.484132 37.740805, -122.485205 37.740758, -122.485335 37.742626, -122.484264 37.742673))",0.9999999999999998
3804,30202,3005,60750302023005,7,"POLYGON ((-122.470398 37.762023, -122.469484 37.762063, -122.469395 37.76207, -122.469392 37.762034, -122.469388 37.761981, -122.469385 37.761935, -122.469263 37.760171, -122.470335 37.760124, -122.470458 37.761892, -122.470461 37.761938, -122.470465 37.761987, -122.470468 37.762027, -122.470398 37.762023))",0.9999999999999998
2044,23102,1006,60750231021006,10,"POLYGON ((-122.384751 37.734985, -122.384475 37.735054, -122.384161 37.735131, -122.38394 37.735084, -122.383828 37.734985, -122.383651 37.734688, -122.383638 37.734606, -122.383593 37.734509, -122.383565 37.734408, -122.383469 37.734369, -122.383201 37.734423, -122.383151 37.734499, -122.383092 37.734462, -122.383033 37.734526, -122.382962 37.734603, -122.382934 37.734543, -122.382919 37.734511, -122.38236 37.733715, -122.382279 37.733632, -122.382505 37.73346, -122.383408 37.733237, -122.383842 37.733219, -122.384426 37.733376, -122.384547 37.733474, -122.384604 37.73352, -122.384692 37.73376, -122.384797 37.734069, -122.384857 37.734233, -122.384851 37.734439, -122.384804 37.73469, -122.384866 37.734945, -122.384751 37.734985))",0.9999999999999998
2046,61101,2002,60750611012002,3,"POLYGON ((-122.40477 37.79716, -122.404058 37.79725, -122.403676 37.797298, -122.403628 37.79706, -122.403549 37.796671, -122.403497 37.796417, -122.404412 37.796302, -122.405288 37.796909, -122.405513 37.797065, -122.405318 37.79709, -122.40477 37.79716))",0.9999999999999998
3320,17700,1005,60750177001005,9,"POLYGON ((-122.40781300021034 37.76835399998735, -122.40781300019536 37.76835399976267, -122.40768500014883 37.76708200013281, -122.40768500013246 37.76708199999203, -122.408582 37.767028, -122.408657 37.767142, -122.408701 37.767724, -122.408707 37.767811, -122.408744 37.768298, -122.40781300021034 37.76835399998735))",0.9999999999999998
3814,35201,1002,60750352011002,4,"POLYGON ((-122.504333 37.753012, -122.504203 37.751144, -122.505277 37.751093, -122.505406 37.752964, -122.504333 37.753012))",0.9999999999999998
1905,32602,3004,60750326023004,4,"POLYGON ((-122.481017 37.757778, -122.48089 37.755919, -122.48196 37.755872, -122.482091 37.757731, -122.481017 37.757778))",0.9999999999999998
3819,15100,3002,60750151003002,2,"POLYGON ((-122.423781 37.789203, -122.423688 37.788746, -122.4253309998363 37.788536000020926, -122.42533099983856 37.78853600003214, -122.42542299990009 37.788994999945224, -122.42542299998681 37.788994999934204, -122.425423 37.788995, -122.423781 37.789203))",0.9999999999999998
6043,17700,1028,60750177001028,9,"POLYGON ((-122.41061 37.766903, -122.410487 37.765606, -122.411455 37.765548, -122.41158 37.766841, -122.41061 37.766903))",0.9999999999999998
781,30900,5014,60750309005014,7,"POLYGON ((-122.471508 37.733229, -122.471322 37.733235, -122.4714 37.731937, -122.471597 37.73195, -122.471885 37.731956, -122.471801 37.733261, -122.471508 37.733229))",0.9999999999999998
1903,33100,4009,60750331004009,4,"POLYGON ((-122.493637 37.731914, -122.493126 37.731936, -122.493027 37.730422, -122.492944 37.73005, -122.49279 37.729693, -122.492544 37.729345, -122.492377 37.729164, -122.492238 37.728941, -122.49216100008566 37.728836000116814, -122.49216100011058 37.72883600012075, -122.49239999958695 37.72890500019351, -122.49278600027458 37.72908200033314, -122.49315500034551 37.7292770002502, -122.49317849751858 37.72929273055638, -122.493394 37.729437, -122.493529 37.729594, -122.493624 37.729731, -122.493644 37.729822, -122.493667 37.730004, -122.493695 37.730242, -122.493719 37.730586, -122.493762 37.73118, -122.493807 37.731906, -122.493637 37.731914))",0.9999999999999998
6039,22600,2018,60750226002018,10,"POLYGON ((-122.390573 37.761652, -122.390454 37.760424, -122.390447 37.760347, -122.391412 37.760299, -122.391418 37.760361, -122.391538 37.761594, -122.390573 37.761652))",0.9999999999999998
6283,26404,1001,60750264041001,10,"POLYGON ((-122.416 37.711915, -122.415081 37.711655, -122.415956 37.709695, -122.416552 37.709859, -122.416884 37.70995, -122.416648 37.710473, -122.416 37.711915))",0.9999999999999998
6507,35201,3001,60750352013001,4,"POLYGON ((-122.503524 37.756787, -122.503392 37.754926, -122.504463 37.754879, -122.504594 37.75674, -122.503524 37.756787))",0.9999999999999998
3887,30800,4013,60750308004013,7,"POLYGON ((-122.473292 37.739419, -122.473161 37.73755, -122.473278 37.737518, -122.474233 37.737476, -122.474365 37.739371, -122.473292 37.739419))",0.9999999999999998
838,47600,2003,60750476002003,1,"POLYGON ((-122.47559 37.778573, -122.474956 37.778602, -122.474821 37.776742, -122.475659 37.776703, -122.475888 37.776693, -122.4759 37.776868, -122.475784 37.776872, -122.475498 37.776885, -122.475513 37.77709, -122.475384 37.777096, -122.475394 37.777233, -122.475414 37.777508, -122.475428 37.777713, -122.475444 37.77807, -122.475453 37.77819, -122.475567 37.778185, -122.475582 37.778391, -122.475893 37.778376, -122.476011 37.778369, -122.476025 37.778554, -122.47559 37.778573))",0.9999999999999998
885,25600,4001,60750256004001,11,"POLYGON ((-122.420565 37.729014, -122.420528 37.728928, -122.421027 37.728903, -122.421597 37.728876, -122.421867 37.728862, -122.422666 37.728822, -122.42374 37.72876, -122.423837 37.728755, -122.42381 37.728841, -122.423831 37.729097, -122.423482 37.729119, -122.423397 37.729111, -122.423311 37.729103, -122.423228 37.729087, -122.423131 37.729069, -122.423128 37.729024, -122.421742 37.72909, -122.42157 37.729098, -122.420859 37.729131, -122.420849 37.728994, -122.420676 37.729003, -122.420688 37.729172, -122.420491 37.729176, -122.420478 37.729174, -122.420565 37.729014))",0.9999999999999998
5936,42700,2004,60750427002004,1,"POLYGON ((-122.488085 37.781874, -122.487951 37.780014, -122.489019 37.779977, -122.489157 37.781825, -122.488085 37.781874))",0.9999999999999998
1245,10701,1003,60750107011003,3,"POLYGON ((-122.409689 37.797493, -122.409762 37.797369, -122.409684 37.79698, -122.410162 37.79692, -122.410253 37.797365, -122.410264 37.79742, -122.409689 37.797493))",0.9999999999999998
5931,23400,2014,60750234002014,10,"POLYGON ((-122.386665 37.719891, -122.387009 37.71951, -122.387258 37.719453, -122.387443 37.719499, -122.388564 37.720124, -122.388056 37.720693, -122.387694 37.721098, -122.387542 37.721107, -122.386243 37.720357, -122.386665 37.719891))",0.9999999999999998
896,10201,1008,60750102011008,3,"POLYGON ((-122.417877 37.801707, -122.417799 37.801267, -122.418674 37.801157, -122.419072 37.801107, -122.419425 37.801062, -122.419614 37.801995, -122.4195 37.801973, -122.419475 37.801992, -122.419393 37.802073, -122.419359 37.802092, -122.419304 37.802076, -122.41922 37.801984, -122.419186 37.801976, -122.419147 37.801991, -122.419069 37.802109, -122.419038 37.802126, -122.419003 37.802119, -122.418966 37.802105, -122.418899 37.802027, -122.418875 37.802021, -122.418838 37.80203, -122.418818 37.802049, -122.41875 37.802148, -122.418719 37.802165, -122.41869 37.802167, -122.418658 37.80216, -122.418572 37.802072, -122.418554 37.802061, -122.418522 37.802064, -122.418496 37.802075, -122.418405 37.802203, -122.418374 37.802214, -122.41834 37.802206, -122.418243 37.802106, -122.418216 37.802102, -122.418057 37.802219, -122.418023 37.802224, -122.417966 37.802201, -122.417877 37.801707))",0.9999999999999998
60,35400,4000,60750354004000,4,"POLYGON ((-122.501536 37.743785, -122.501404 37.74191, -122.502477 37.741862, -122.502609 37.743738, -122.501536 37.743785))",0.9999999999999998
4905,45100,1002,60750451001002,1,"POLYGON ((-122.45986 37.779283, -122.459725 37.77743, -122.460796 37.77738, -122.460931 37.779235, -122.45986 37.779283))",0.9999999999999998
899,32901,3004,60750329013004,4,"POLYGON ((-122.489879 37.746165, -122.48975 37.744304, -122.490822 37.744257, -122.490952 37.746118, -122.489879 37.746165))",0.9999999999999998
5923,30400,1012,60750304001012,7,"POLYGON ((-122.461776 37.747321, -122.461877 37.747112, -122.46186 37.7469, -122.46171 37.746362, -122.461801 37.74634, -122.462078 37.746123, -122.462851 37.746757, -122.462762 37.746852, -122.462781 37.747, -122.462769 37.747158, -122.462708 37.747346, -122.462618 37.747509, -122.462477 37.747652, -122.462333 37.747777, -122.461776 37.747321))",0.9999999999999998
2090,26202,1007,60750262021007,11,"POLYGON ((-122.444891 37.713641, -122.445458 37.713196, -122.446779 37.714256, -122.446213 37.714701, -122.444891 37.713641))",0.9999999999999998
2091,30600,2008,60750306002008,7,"POLYGON ((-122.453701 37.743602, -122.453445 37.743408, -122.453644 37.743312, -122.453773 37.743219, -122.454467 37.743718, -122.454164 37.743959, -122.453701 37.743602))",0.9999999999999998
3162,35400,5003,60750354005003,4,"POLYGON ((-122.504359 37.738051, -122.504228 37.736182, -122.505297 37.736135, -122.505363 37.737068, -122.505429 37.738004, -122.504359 37.738051))",0.9999999999999998
486,35201,4000,60750352014000,4,"POLYGON ((-122.502582 37.7587, -122.50245 37.756835, -122.503524 37.756787, -122.503652 37.758653, -122.502582 37.7587))",0.9999999999999998
64,10300,1003,60750103001003,3,"POLYGON ((-122.416051 37.804356, -122.415446 37.803937, -122.416008 37.803865, -122.416353 37.803855, -122.416605 37.803823, -122.416696 37.804277, -122.416051 37.804356))",0.9999999999999998
6511,20401,2000,60750204012000,8,"POLYGON ((-122.444247 37.758264, -122.443994 37.758148, -122.443911 37.758178, -122.443864 37.758195, -122.443251 37.757789, -122.443202 37.75771, -122.443158 37.757667, -122.443003 37.757493, -122.442915 37.75736, -122.443513 37.757016, -122.443584 37.757088, -122.443695 37.757161, -122.444027 37.757306, -122.444165 37.757408, -122.444488 37.757791, -122.444665 37.757854, -122.444637 37.757923, -122.444563 37.75833, -122.444247 37.758264))",0.9999999999999998
3149,47902,1006,60750479021006,1,"POLYGON ((-122.501868 37.779274, -122.501733 37.777385, -122.502807 37.777336, -122.502945 37.779227, -122.501868 37.779274))",0.9999999999999998
5909,32700,6007,60750327006007,4,"POLYGON ((-122.494952 37.757164, -122.495393 37.757144, -122.495555 37.757137, -122.495692 37.759001, -122.495556 37.759007, -122.495082 37.759028, -122.494952 37.757164))",0.9999999999999998
930,30400,1007,60750304001007,7,"POLYGON ((-122.460797 37.748986, -122.460531 37.748932, -122.460335 37.748854, -122.460195 37.748765, -122.460123 37.748703, -122.460051 37.748695, -122.459922 37.748515, -122.459838 37.748317, -122.459824 37.748117, -122.459883 37.747896, -122.459972 37.747752, -122.460812 37.748077, -122.460769 37.74823, -122.460749 37.748353, -122.460776 37.748535, -122.460819 37.748645, -122.460886 37.74876, -122.460998 37.748868, -122.461185 37.748984, -122.460797 37.748986))",0.9999999999999998
4893,30800,2006,60750308002006,7,"POLYGON ((-122.464821 37.738811, -122.464639 37.738754, -122.464361 37.738631, -122.464191 37.738555, -122.463751 37.738309, -122.463377 37.738081, -122.4633 37.737928, -122.463136 37.737023, -122.464746 37.737885, -122.465845 37.738494, -122.465407 37.738754, -122.465204 37.738835, -122.464821 37.738811))",0.9999999999999998
884,23300,1001,60750233001001,10,"POLYGON ((-122.397668 37.722874, -122.397283 37.722782, -122.397203 37.722763, -122.396626 37.722626, -122.397271 37.72093, -122.397846 37.721065, -122.397917 37.721075, -122.39823 37.721121, -122.398326 37.721143, -122.397668 37.722874))",0.9999999999999998
3189,30900,4009,60750309004009,7,"POLYGON ((-122.472167 37.726564, -122.472161 37.726684, -122.472149 37.726823, -122.471959 37.726818, -122.471703 37.726808, -122.47177 37.72557, -122.472026 37.725563, -122.472223 37.725535, -122.472214 37.725698, -122.472167 37.726564))",0.9999999999999998
3936,11700,2006,60750117002006,3,"POLYGON ((-122.402957 37.79378, -122.402767 37.792851, -122.403828 37.792717, -122.404016 37.793646, -122.402957 37.79378))",0.9999999999999998
4916,10500,1003,60750105001003,3,"POLYGON ((-122.402834 37.804082, -122.40234 37.804177, -122.40218 37.80405, -122.402059 37.803955, -122.402116 37.803879, -122.401981 37.80324, -122.40316 37.803098, -122.403349 37.80403, -122.402834 37.804082))",0.9999999999999998
498,22704,2006,60750227042006,10,"POLYGON ((-122.40096 37.758132, -122.40087 37.757185, -122.401833 37.757121, -122.401957 37.758403, -122.40096 37.758132))",0.9999999999999998
5982,23300,2013,60750233002013,10,"POLYGON ((-122.393026 37.72847, -122.392954 37.728529, -122.392985 37.728454, -122.393244 37.727875, -122.393284 37.727764, -122.393529 37.727913, -122.393026 37.72847))",0.9999999999999998
4929,42700,3004,60750427003004,1,"POLYGON ((-122.491436 37.783591, -122.491299 37.781726, -122.492375 37.781677, -122.492465 37.782911, -122.49251 37.783543, -122.491436 37.783591))",0.9999999999999998
3896,47904,2002,60750479042002,1,"POLYGON ((-122.500386 37.773702, -122.500258 37.771836, -122.501328 37.771787, -122.501463 37.773653, -122.500386 37.773702))",0.9999999999999998
1885,22802,1005,60750228021005,10,"POLYGON ((-122.406306 37.763254, -122.406182 37.761996, -122.407187 37.761936, -122.407305 37.763188, -122.406306 37.763254))",0.9999999999999998
5971,42601,1006,60750426011006,1,"POLYGON ((-122.478444 37.782308, -122.47831 37.780449, -122.478414 37.780446, -122.479255 37.780412, -122.479388 37.780403, -122.479516 37.782261, -122.478444 37.782308))",0.9999999999999998
5967,22901,2008,60750229012008,9,"POLYGON ((-122.413213 37.749338, -122.412687 37.74937, -122.412618 37.748883, -122.413725 37.74884, -122.413771 37.749304, -122.413213 37.749338))",0.9999999999999998
2068,23400,1015,60750234001015,10,"POLYGON ((-122.395708 37.722432, -122.395542 37.72241, -122.395421 37.722362, -122.393737 37.721408, -122.394302 37.720783, -122.395708 37.721582, -122.395806 37.721637, -122.395887 37.721683, -122.396018 37.721739, -122.395708 37.722432))",0.9999999999999998
3225,23200,1001,60750232001001,10,"POLYGON ((-122.388855 37.72998, -122.389419 37.729354, -122.39129 37.730411, -122.390727 37.731037, -122.388855 37.72998))",0.9999999999999998
739,20500,1005,60750205001005,8,"POLYGON ((-122.43716 37.761845, -122.436911 37.761907, -122.436373 37.762023, -122.436242 37.762069, -122.436229 37.762003, -122.436226 37.761971, -122.436114 37.760824, -122.437191 37.760758, -122.437282 37.761721, -122.437294 37.761823, -122.43716 37.761845))",0.9999999999999998
3217,12601,2003,60750126012003,2,"POLYGON ((-122.440195 37.803963, -122.439944 37.802724, -122.44078 37.802619, -122.441032 37.803858, -122.440195 37.803963))",0.9999999999999998
5958,30302,3011,60750303023011,7,"POLYGON ((-122.474611 37.750581, -122.474075 37.750604, -122.473986 37.749313, -122.473946 37.74874, -122.475017 37.748692, -122.475147 37.750557, -122.474611 37.750581))",0.9999999999999998
866,15702,2007,60750157022007,2,"POLYGON ((-122.443321 37.777164, -122.4433 37.777061, -122.443416 37.777037, -122.443378 37.776852, -122.443571 37.776828, -122.443557 37.77676, -122.443728 37.776738, -122.443707 37.776637, -122.444391 37.77655, -122.444411 37.776652, -122.444585 37.776629, -122.44464 37.776901, -122.444658 37.776996, -122.443321 37.777164))",0.9999999999999998
1879,23102,2001,60750231022001,10,"POLYGON ((-122.385966 37.734829, -122.385783 37.7345, -122.385627 37.734019, -122.385614 37.733978, -122.38531 37.733472, -122.385157 37.733257, -122.385054 37.733177, -122.385052 37.733114, -122.385129 37.733141, -122.385418 37.733428, -122.385734 37.733925, -122.385755 37.733988, -122.385864 37.734273, -122.385905 37.734456, -122.386031 37.734698, -122.386123 37.73482, -122.386067 37.734933, -122.385966 37.734829))",0.9999999999999998
5949,18000,4013,60750180004013,6,"POLYGON ((-122.406381 37.772058, -122.405425 37.771296, -122.405775 37.771019, -122.40601 37.770834, -122.406268 37.771339, -122.406519 37.771867, -122.406675 37.772293, -122.406381 37.772058))",0.9999999999999998
873,980900,1048,60759809001048,10,"POLYGON ((-122.388746 37.74126, -122.388615 37.741186, -122.388577 37.741165, -122.38855 37.74115, -122.388821 37.740355, -122.388893 37.740396, -122.388968 37.740439, -122.390143 37.741105, -122.389581 37.74173, -122.388746 37.74126))",0.9999999999999998
6670,30800,1009,60750308001009,7,"POLYGON ((-122.46322 37.741156, -122.463024 37.741055, -122.462881 37.740942, -122.462759 37.740775, -122.465036 37.740651, -122.464942 37.740832, -122.464784 37.741077, -122.464629 37.741271, -122.464302 37.741625, -122.46322 37.741156))",0.9999999999999998
249,980600,1013,60759806001013,10,"POLYGON ((-122.364614 37.726881, -122.364717 37.726715, -122.364735 37.72658, -122.364572 37.726168, -122.365952 37.725851, -122.365702 37.726016, -122.364714 37.727125, -122.364614 37.726881))",0.9999999999999998
3198,20402,1003,60750204021003,8,"POLYGON ((-122.444987 37.748008, -122.445957 37.747861, -122.446366 37.74788, -122.446627 37.74793, -122.446911 37.748026, -122.4471 37.748137, -122.447261 37.748143, -122.447641 37.74807, -122.447716 37.748324, -122.447694 37.748534, -122.447604 37.748694, -122.447476 37.748776, -122.447379 37.748785, -122.446973 37.748476, -122.446721 37.748345, -122.446476 37.748265, -122.446153 37.74822, -122.445996 37.748227, -122.445022 37.748369, -122.444987 37.748008))",0.9999999999999998
2075,60100,1022,60750601001022,2,"POLYGON ((-122.477591 37.799213, -122.477246 37.799273, -122.476882 37.799284, -122.476547 37.799242, -122.475841 37.798977, -122.476002 37.798832, -122.476135 37.798546, -122.476611 37.797515, -122.47669 37.797343, -122.476697 37.797535, -122.4767 37.797601, -122.476795 37.797803, -122.476997 37.798047, -122.477338 37.798433, -122.477584 37.798764, -122.477728 37.799009, -122.477797 37.799201, -122.477591 37.799213))",0.9999999999999998
5961,60100,1021,60750601001021,2,"POLYGON ((-122.476611 37.797515, -122.476135 37.798546, -122.475897 37.798495, -122.475522 37.798469, -122.47519 37.79847, -122.474795 37.798417, -122.474587 37.798366, -122.474409 37.798299, -122.474093 37.798164, -122.473797 37.798084, -122.473493 37.79806, -122.47297 37.798153, -122.472675 37.798266, -122.472269 37.798497, -122.471767 37.798837, -122.471489 37.798988, -122.471228 37.799048, -122.471109 37.799035, -122.471012 37.798943, -122.470821 37.798385, -122.470771 37.798274, -122.470715 37.798174, -122.470577 37.797986, -122.47035 37.797744, -122.470199 37.797623, -122.470085 37.797544, -122.469949 37.7975, -122.46974 37.797499, -122.469555 37.797515, -122.469522 37.797518, -122.469509 37.797521, -122.469544 37.797344, -122.469554 37.797135, -122.469559 37.796885, -122.469565 37.796572, -122.469559 37.796266, -122.469576 37.79525, -122.469789 37.7953, -122.469994 37.795275, -122.470225 37.795203, -122.470822 37.794898, -122.47102 37.79484, -122.471448 37.794819, -122.471707 37.794746, -122.471831 37.794702, -122.472178 37.794489, -122.472273 37.794585, -122.472439 37.794879, -122.472594 37.795009, -122.47276 37.795085, -122.472921 37.795103, -122.473098 37.795089, -122.475162 37.794586, -122.475636 37.794452, -122.475813 37.794342, -122.475859 37.794251, -122.476448 37.79468, -122.476687 37.794868, -122.477274 37.795256, -122.477516 37.795496, -122.477629 37.795702, -122.47766 37.795937, -122.477619 37.796127, -122.477475 37.796357, -122.477195 37.796597, -122.476938 37.796876, -122.476773 37.797134, -122.47669 37.797343, -122.476611 37.797515))",0.9999999999999998
3363,20300,1003,60750203001003,8,"POLYGON ((-122.428657 37.767735, -122.428487 37.767747, -122.427865 37.767793, -122.42772 37.766285, -122.427757 37.766194, -122.428819 37.76613, -122.428936 37.767369, -122.428949 37.767504, -122.428657 37.767735))",0.9999999999999998
31,47902,2004,60750479022004,1,"POLYGON ((-122.499735 37.779467, -122.499726 37.779347, -122.499591 37.777482, -122.50066 37.777435, -122.500806 37.7793, -122.50081 37.779451, -122.499735 37.779467))",0.9999999999999998
3763,17803,1001,60750178031001,6,"POLYGON ((-122.411069 37.775794, -122.410611 37.775428, -122.410862 37.77523, -122.411053 37.77508, -122.41217 37.7742, -122.412627 37.774565, -122.411069 37.775794))",0.9999999999999998
6197,30700,2014,60750307002014,7,"POLYGON ((-122.44833 37.733812, -122.448331 37.73428, -122.447319 37.734283, -122.447049 37.734252, -122.446849 37.734177, -122.446536 37.733992, -122.446392 37.733894, -122.446187 37.733824, -122.446023 37.733817, -122.445782 37.73385, -122.445605 37.733801, -122.444425 37.73381, -122.444426 37.733455, -122.444772 37.733454, -122.44477 37.733248, -122.444424 37.733249, -122.444424 37.73318, -122.44432 37.733088, -122.446601 37.733077, -122.448873 37.733069, -122.448878 37.73381, -122.44833 37.733812))",0.9999999999999998
3639,60100,2068,60750601002068,2,"POLYGON ((-122.461221 37.801256, -122.460046 37.801551, -122.46008 37.801431, -122.4602 37.801273, -122.460286 37.801162, -122.460739 37.800576, -122.460827 37.800508, -122.461325 37.801086, -122.461377 37.801194, -122.461221 37.801256))",0.9999999999999998
3509,26401,1003,60750264011003,10,"POLYGON ((-122.41296 37.714063, -122.413439 37.712986, -122.41437 37.713247, -122.413893 37.714315, -122.41296 37.714063))",0.9999999999999998
613,26100,1007,60750261001007,11,"POLYGON ((-122.436468 37.722465, -122.43715 37.721575, -122.437222 37.721551, -122.437502 37.721176, -122.437584 37.721208, -122.438583 37.721603, -122.438491 37.721733, -122.437729 37.722956, -122.436468 37.722465))",0.9999999999999998
15,35102,1002,60750351021002,4,"POLYGON ((-122.497222 37.758934, -122.497091 37.75707, -122.498162 37.757023, -122.498293 37.758888, -122.497222 37.758934))",0.9999999999999998
4995,32700,1005,60750327001005,4,"POLYGON ((-122.493221 37.764784, -122.492381 37.764821, -122.492261 37.76482, -122.492255 37.764734, -122.492127 37.762901, -122.493199 37.762853, -122.49333 37.764693, -122.493336 37.764774, -122.493221 37.764784))",0.9999999999999998
6256,61200,1013,60750612001013,10,"POLYGON ((-122.390516 37.735647, -122.390477 37.735625, -122.390416 37.735591, -122.389771 37.735225, -122.38791 37.73417, -122.388482 37.733534, -122.390345 37.734599, -122.390694 37.734797, -122.390801 37.734859, -122.390516 37.735647))",0.9999999999999998
3645,980600,1022,60759806001022,10,"POLYGON ((-122.368101 37.731016, -122.36797 37.731143, -122.367875 37.731192, -122.367809 37.731197, -122.36774 37.731176, -122.367018 37.730764, -122.367638 37.730131, -122.36769 37.730077, -122.367736 37.730004, -122.367729 37.729929, -122.367669 37.729858, -122.367117 37.729554, -122.366992 37.729501, -122.366972 37.729431, -122.366877 37.729323, -122.366662 37.729199, -122.366528 37.729108, -122.36643 37.728988, -122.366384 37.728873, -122.36638 37.728686, -122.366526 37.728689, -122.366771 37.728755, -122.368772 37.729871, -122.369036 37.730018, -122.368101 37.731016))",0.9999999999999998
3646,31402,1003,60750314021003,11,"POLYGON ((-122.453378 37.717768, -122.452642 37.717376, -122.4537 37.716109, -122.454155 37.716875, -122.453378 37.717768))",0.9999999999999998
623,47902,2003,60750479022003,1,"POLYGON ((-122.50081 37.779451, -122.500806 37.7793, -122.50066 37.777435, -122.501733 37.777385, -122.501868 37.779274, -122.501875 37.779364, -122.501887 37.779514, -122.50081 37.779451))",0.9999999999999998
3653,32802,1008,60750328021008,4,"POLYGON ((-122.480498 37.750321, -122.480368 37.748456, -122.48144 37.748409, -122.48157 37.750274, -122.480498 37.750321))",0.9999999999999998
628,20402,4005,60750204024005,8,"POLYGON ((-122.44184 37.754666, -122.441915 37.754521, -122.442476 37.753719, -122.443013 37.754014, -122.442501 37.754462, -122.442414 37.754616, -122.442387 37.754816, -122.44184 37.754666))",0.9999999999999998
3492,32700,6004,60750327006004,4,"POLYGON ((-122.492806 37.757259, -122.492675 37.755398, -122.493751 37.755351, -122.493877 37.757211, -122.492806 37.757259))",0.9999999999999998
3662,20601,1000,60750206011000,8,"POLYGON ((-122.425983 37.761433, -122.425836 37.759835, -122.426013 37.759825, -122.426176 37.761421, -122.425983 37.761433))",0.9999999999999998
3488,23200,2005,60750232002005,10,"POLYGON ((-122.386242 37.726606, -122.3868 37.725986, -122.388673 37.727044, -122.38811 37.727666, -122.386242 37.726606))",0.9999999999999998
6170,26100,2010,60750261002010,11,"POLYGON ((-122.443259 37.714927, -122.443256 37.715042, -122.442662 37.714567, -122.443346 37.713928, -122.443706 37.713592, -122.444325 37.714087, -122.443259 37.714927))",0.9999999999999998
3482,980900,1055,60759809001055,10,"POLYGON ((-122.4027 37.740377, -122.402721 37.74024, -122.404383 37.739762, -122.404354 37.740086, -122.404122 37.740733, -122.40392 37.741066, -122.4027 37.740377))",0.9999999999999998
6169,26301,1007,60750263011007,11,"POLYGON ((-122.438758 37.716632, -122.439376 37.71576, -122.439411 37.715711, -122.440228 37.716083, -122.4402 37.716122, -122.439655 37.71688, -122.43964 37.716959, -122.438758 37.716632))",0.9999999999999998
1936,30900,7011,60750309007011,7,"POLYGON ((-122.472559 37.722993, -122.472671 37.722029, -122.47265 37.721767, -122.472728 37.721763, -122.47306 37.721774, -122.473054 37.721875, -122.473112 37.721876, -122.47308 37.72243, -122.47301 37.722892, -122.472993 37.723007, -122.472559 37.722993))",0.9999999999999998
6704,25402,3001,60750254023001,9,"POLYGON ((-122.410733 37.739792, -122.410879 37.738156, -122.410953 37.738179, -122.411503 37.73821, -122.411363 37.739747, -122.41137 37.739831, -122.410733 37.739792))",0.9999999999999998
6494,30201,1003,60750302011003,7,"POLYGON ((-122.475021 37.765587, -122.474159 37.765627, -122.474046 37.76563, -122.474041 37.765549, -122.473913 37.763703, -122.474985 37.763656, -122.475115 37.7655, -122.47512 37.765581, -122.475021 37.765587))",0.9999999999999998
