,TRACTCE20,BLOCKCE20,GEOID20,sup_dist,geometry,percent
4089,60702,1029,60750607021029,6,"MULTIPOLYGON (((-122.401721 37.766133, -122.40172099999339 37.76613299992988, -122.4018656519519 37.76612434721744, -122.401721 37.766133)), ((-122.40259636145483 37.7660804546797, -122.40268499973527 37.766074999763006, -122.40268499997629 37.76607499974841, -122.402685 37.766075, -122.40259636145483 37.7660804546797)))",0.0
90,30500,1009,60750305001009,8,"MULTIPOLYGON (((-122.447958 37.75027, -122.44782091423905 37.75022864768368, -122.44795799967524 37.75026999974266, -122.44806881002442 37.75025733599721, -122.447958 37.75027)), ((-122.448264 37.750168, -122.448133 37.75025, -122.4481329999108 37.7502500000102, -122.44826399999697 37.75016799977067, -122.44879475502017 37.74945947196179, -122.448264 37.750168)), ((-122.449051 37.749183, -122.44890774950487 37.74931762094723, -122.4490509996444 37.749182999992335, -122.4491337469358 37.749150157144044, -122.449051 37.749183)))",0.0
1881,30101,2005,60750301012005,8,"POLYGON ((-122.457718 37.76481, -122.4577179999961 37.76480999994377, -122.45771800030279 37.764809999904756, -122.45775064742983 37.76527737373228, -122.457718 37.76481))",0.0
5097,22600,2003,60750226002003,10,"MULTIPOLYGON (((-122.387917 37.764379, -122.38832617360133 37.76435390090605, -122.38791700009492 37.76437900017766, -122.3879170000195 37.76437900020289, -122.387917 37.764379)), ((-122.388681 37.764332, -122.38871890634404 37.764329725619355, -122.38868100017608 37.76433200027305, -122.38863776649752 37.76433474498428, -122.388681 37.764332)), ((-122.388905 37.764319, -122.38890500001784 37.764319000221825, -122.38890499958377 37.76431900024887, -122.38878131609798 37.76432610827023, -122.388905 37.764319)))",0.0
1848,22600,2006,60750226002006,6,"POLYGON ((-122.3911980761615 37.76417728156671, -122.39178099998334 37.76414099996045, -122.39178099999616 37.76414099995967, -122.391781 37.764141, -122.3911980761615 37.76417728156671))",0.0
1778,20202,1004,60750202021004,6,"POLYGON ((-122.42243899999069 37.77066399989984, -122.42243900044382 37.770664000240274, -122.42243900045314 37.770664000335316, -122.422439 37.770664, -122.42243899999069 37.77066399989984))",0.0
5188,42800,2000,60750428002000,2,"MULTIPOLYGON (((-122.48391 37.789233, -122.483904 37.788994, -122.4839570330257 37.78885534073486, -122.48390400042936 37.78899399967634, -122.48391000027709 37.78923299967171, -122.48395704389254 37.789330028028374, -122.48391 37.789233)), ((-122.48414600000123 37.78766500024331, -122.48414600027867 37.787665000183345, -122.48414758949458 37.78797614356447, -122.48414600000123 37.78766500024331)), ((-122.484406 37.789641, -122.484194 37.78956, -122.48417623534682 37.789553447463994, -122.48419399995927 37.78955999993097, -122.48440599967137 37.78964099975197, -122.4846982443334 37.789721276992815, -122.484406 37.789641)), ((-122.485197 37.790197, -122.484838 37.789892, -122.48473000001398 37.78973000002098, -122.48473000043478 37.78973000013657, -122.48483800038984 37.789892000027066, -122.48519700041503 37.79019700033385, -122.48522181092837 37.790218352032184, -122.485197 37.790197)))",0.0
5203,26003,2006,60750260032006,10,"MULTIPOLYGON (((-122.426544 37.717248, -122.42660088741103 37.71717124714387, -122.42654400035661 37.717247999748636, -122.42614000012554 37.71843300000985, -122.42614000001558 37.71843299995433, -122.426544 37.717248)), ((-122.426698 37.717046, -122.426848 37.716651, -122.42684800012411 37.71665100005931, -122.42669800034237 37.7170459999714, -122.42668140465683 37.717064966106484, -122.426698 37.717046)))",0.0
3036,21700,1004,60750217001004,7,"MULTIPOLYGON (((-122.449713 37.743185, -122.44979 37.743257, -122.449861 37.743265, -122.45009404040263 37.74354282396756, -122.44986099975632 37.74326500019119, -122.44978999961118 37.743257000193346, -122.44971299971496 37.74318500026431, -122.449713 37.743185)), ((-122.450693 37.744306, -122.45107762812692 37.74478505534962, -122.45069299960952 37.74430599981535, -122.45027037963582 37.74376449368947, -122.450693 37.744306)), ((-122.45154700031964 37.7455149998876, -122.45154700010231 37.74551499971673, -122.4516114655621 37.74549233079135, -122.45154700031964 37.7455149998876)))",0.0
5243,980300,1032,60759803001032,7,"MULTIPOLYGON (((-122.456839 37.770992, -122.45727776550609 37.77104788612137, -122.45683899998858 37.77099200012503, -122.456839 37.770992)), ((-122.458197 37.77117, -122.45897 37.771283, -122.45905187237588 37.771296218977355, -122.45897000028056 37.77128300026269, -122.45819699997858 37.771170000218554, -122.45806209401412 37.771150113460244, -122.458197 37.77117)), ((-122.460003 37.771451, -122.461184 37.771625, -122.462047 37.771776, -122.46204699987743 37.77177600019563, -122.46204699962328 37.77177600013203, -122.46118399980793 37.771625000161166, -122.46000299997525 37.77145100031086, -122.45956683738883 37.77137994854015, -122.460003 37.771451)))",0.0
1689,40200,4000,60750402004000,2,"MULTIPOLYGON (((-122.466924 37.788132, -122.46692399995807 37.78813199995382, -122.46692400001315 37.78813199994272, -122.46707836198767 37.78809098174412, -122.466924 37.788132)), ((-122.47005545564248 37.78740449472318, -122.47008099972182 37.78739900005616, -122.47008099999992 37.78739899999659, -122.470081 37.787399, -122.47005545564248 37.78740449472318)))",0.0
4045,33201,1001,60750332011001,7,"MULTIPOLYGON (((-122.476064 37.730152, -122.477262 37.730136, -122.47757357696838 37.73013569661444, -122.47726200005069 37.73013600010759, -122.47606399960128 37.7301520000964, -122.47601437287848 37.7301391047637, -122.476064 37.730152)), ((-122.478517 37.730009, -122.47854369597555 37.7299658415062, -122.47851700040151 37.73000899971837, -122.47850849499402 37.7300152829774, -122.478517 37.730009)), ((-122.478585 37.729813, -122.478558 37.729449, -122.47855800042393 37.72944900000871, -122.4785850001736 37.72981299994884, -122.4785816087521 37.729854966692734, -122.478585 37.729813)), ((-122.479818 37.729382, -122.480608 37.729232, -122.48278243726202 37.728633731612554, -122.48060799990522 37.7292320000963, -122.4798179998848 37.72938200026604, -122.47948422540136 37.72943959520101, -122.479818 37.729382)), ((-122.482247 37.728043, -122.481821 37.727168, -122.48182100044188 37.72716799996913, -122.4822470003956 37.72804299982855, -122.48279600039159 37.72862999989182, -122.48279599999967 37.728629999999654, -122.482247 37.728043)), ((-122.483811 37.727029, -122.483953 37.727025, -122.48395432698736 37.72704656354455, -122.48395299993483 37.72702500018522, -122.48381099964462 37.72702900035069, -122.48203659787072 37.727152940651244, -122.483811 37.727029)), ((-122.48609803927026 37.72939815223076, -122.48572200012157 37.729292000058514, -122.48572200007978 37.729292000022525, -122.48609803927026 37.72939815223076)), ((-122.48660599988456 37.72955499995573, -122.4866059998533 37.729554999947254, -122.4865252249098 37.72952402609323, -122.48660599988456 37.72955499995573)))",0.0
1687,17700,2031,60750177002031,9,"MULTIPOLYGON (((-122.415579 37.769578, -122.415748 37.769586, -122.41622559793802 37.76961820270997, -122.4157479996613 37.76958600028689, -122.41557899990683 37.769578000308634, -122.415579 37.769578)), ((-122.417788 37.769761, -122.41778799994741 37.76976100008183, -122.41777685723915 37.76976052583996, -122.417788 37.769761)))",0.0
1684,22802,2003,60750228022003,10,"POLYGON ((-122.406699 37.756834, -122.40666759043192 37.75650145742998, -122.40669900030986 37.75683400003502, -122.4067504093175 37.757306354917205, -122.406699 37.756834))",0.0
